model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
ExtraTreesGini,0.89375,0.8402777777777778,accuracy,0.2823340892791748,0.1595461368560791,1.598973274230957,0.2823340892791748,0.1595461368560791,1.598973274230957,1,True,9
ExtraTreesEntr,0.8875,0.84375,accuracy,0.28418707847595215,0.1834251880645752,1.8246631622314453,0.28418707847595215,0.1834251880645752,1.8246631622314453,1,True,10
LightGBMXT,0.86875,0.8680555555555556,accuracy,0.12085342407226562,0.04274702072143555,3.957718849182129,0.12085342407226562,0.04274702072143555,3.957718849182129,1,True,4
RandomForestEntr,0.86875,0.8506944444444444,accuracy,0.18032550811767578,0.15118885040283203,1.8492228984832764,0.18032550811767578,0.15118885040283203,1.8492228984832764,1,True,7
RandomForestGini,0.8625,0.8541666666666666,accuracy,0.20323538780212402,0.15359258651733398,1.657642126083374,0.20323538780212402,0.15359258651733398,1.657642126083374,1,True,6
LightGBM,0.85625,0.875,accuracy,0.07971525192260742,0.017398357391357422,1.9903080463409424,0.07971525192260742,0.017398357391357422,1.9903080463409424,1,True,5
WeightedEnsemble_L2,0.85625,0.875,accuracy,0.10021114349365234,0.017398357391357422,2.2386317253112793,0.020495891571044922,0.0,0.24832367897033691,2,True,14
XGBoost,0.85625,0.8680555555555556,accuracy,0.10302424430847168,0.026504993438720703,4.1800947189331055,0.10302424430847168,0.026504993438720703,4.1800947189331055,1,True,11
LightGBMLarge,0.85625,0.8645833333333334,accuracy,0.2673790454864502,0.08668684959411621,7.760641574859619,0.2673790454864502,0.08668684959411621,7.760641574859619,1,True,13
CatBoost,0.85,0.8541666666666666,accuracy,0.0009899139404296875,0.0,19.341148376464844,0.0009899139404296875,0.0,19.341148376464844,1,True,8
NeuralNetTorch,0.825,0.8090277777777778,accuracy,0.030330419540405273,0.033484458923339844,27.741365432739258,0.030330419540405273,0.033484458923339844,27.741365432739258,1,True,12
NeuralNetFastAI,0.8125,0.7777777777777778,accuracy,0.09786462783813477,0.029916048049926758,4.249841928482056,0.09786462783813477,0.029916048049926758,4.249841928482056,1,True,3
KNeighborsDist,0.8,0.7708333333333334,accuracy,0.033620357513427734,0.02712106704711914,0.017678022384643555,0.033620357513427734,0.02712106704711914,0.017678022384643555,1,True,2
KNeighborsUnif,0.73125,0.6944444444444444,accuracy,0.032306671142578125,0.02987051010131836,0.02366781234741211,0.032306671142578125,0.02987051010131836,0.02366781234741211,1,True,1
