h2,ch4,c2h6,c2h4,c2h2,act
36.2,12.6,4.4,15.5,0.0,2
10.0,44.0,106.0,28.0,0.001,4
416.0,695.0,0.0,867.0,74.0,2
24.5,212.9,113.3,313.9,1.7,5
78.0,161.0,86.0,353.0,10.0,2
19.0,48.0,76.0,18.0,0.001,4
183.0,6.0,0.001,5.0,0.001,6
9.0,47.0,144.0,628.0,0.0001,2
107.0,143.0,34.0,222.0,2.0,2
200.0,700.0,250.0,740.0,1.0,5
345.0,112.3,27.5,51.5,58.8,3
11.0,46.0,155.0,18.0,0.001,4
80.0,20.0,6.0,20.0,62.0,3
25.0,9.0,6.0,5.0,44.0,1
16.2,95.9,43.3,172.5,0.5,2
24.6,175.3,95.5,224.6,0.2,5
32.4,5.5,1.4,12.6,13.2,1
179.0,306.0,73.0,579.0,0.001,2
16.0,105.0,224.0,15.0,0.0001,4
82.0,161.0,406.0,79.0,8.9,2
24.0,78.0,266.0,779.0,7.0,5
4.9,228.9,121.3,306.5,0.0,5
107.0,143.0,2.0,222.0,34.0,2
30.0,14.0,1.0,9.0,43.0,1
109.0,102.0,28.0,91.0,0.0001,5
137.0,18.0,16.0,2.0,0.0,6
90.0,160.0,29.0,330.0,54.0,2
6.8,156.5,90.4,191.3,0.0,5
11.0,271.0,465.0,32.0,0.001,4
176.0,205.9,47.7,75.7,68.7,1
80.0,28.0,4.0,15.0,107.0,1
85.87,7.01,4.49,2.64,0.0001,6
90.0,160.0,330.0,54.0,29.0,2
23.9,186.5,99.9,278.9,1.8,5
4.7,113.8,52.3,137.1,0.0,5
6.0,83.9,22.5,120.2,0.0,2
85.0,26.1,12.9,21.0,48.0,1
86.0,277.0,63.0,338.0,0.001,2
27.4,63.2,32.7,37.8,0.2,4
3.3,87.6,22.2,101.8,0.0,2
18.0,82.8,4.3,3.1,0.0,4
75.0,5.0,31.0,69.0,36.0,1
14.0,322.0,85.0,474.0,0.0,2
12.4,6.5,15.3,69.0,15.0,1
13.0,59.0,117.0,44.0,0.001,4
27.22,451.67,109.41,637.37,0.0,2
2.0,5.0,81.0,172.0,0.001,5
88.0,660.0,183.0,866.0,0.0,2
87.0,34.0,23.0,15.0,60.0,1
24.0,20.0,4.0,87.0,0.001,2
2.8,134.3,87.8,168.8,0.0,5
42.0,124.0,1.0,8.0,0.001,4
51.0,71.0,15.0,87.0,0.0,2
980.0,73.0,58.0,12.0,0.001,6
220.0,340.0,14.0,480.0,42.0,2
166.6,28.3,6.72,12.4,0.3,4
114.0,241.0,80.0,574.0,0.001,2
36.0,124.0,2.0,122.0,108.0,1
20.0,48.0,36.0,186.0,0.001,2
295.0,22.0,26.0,6.0,0.0,6
208.0,7.6,27.5,9.7,14.4,3
12.4,6.5,15.3,69.0,15.0,1
88.7,460.8,94.9,184.6,18.3,5
36.0,21.0,65.0,2.0,0.001,4
26.0,398.0,85.0,319.0,0.001,5
56.0,61.0,75.0,32.0,31.0,3
15.0,139.0,160.0,343.0,0.001,5
13.0,59.0,117.0,44.0,0.001,4
6.0,38.0,93.0,32.0,0.001,4
20.0,48.0,36.0,186.0,0.0001,2
980.0,73.0,58.0,12.0,0.0,3
74.8,30.1,82.3,13.6,0.0001,4
44.9775,11.0945,12.7436,2.6987,28.4858,3
14.7,63.0,14.7,105.0,0.4,2
181.5,22.0,76.0,3.7,0.001,6
6.0,197.0,476.9,16.9,0.0001,4
6.5,83.4,20.6,106.5,0.0,2
59.0,119.0,36.0,70.0,0.001,5
5.1,129.5,60.7,150.8,0.0,5
55.5,340.7,160.7,501.5,2.2,2
0.001,28.0,64.0,408.0,6.0,2
23.0,6.0,172.0,23.0,31.0,4
13.0,3.0,1.0,3.0,6.0,1
16.0,237.0,470.0,92.0,0.0,2
4.1,3.5,0.68,1.2,5.2,3
15.0,15.0,4.0,17.0,22.0,3
18.6,78.4,31.2,21.5,2.9,4
0.001,0.001,0.001,142.0,0.001,2
