h2,ch4,c2h6,c2h4,c2h2,act
121.0,3.0,1.0,0.001,0.001,6
160.0,25.2,5.3,12.3,15.7,1
256.0,8.0,37.4,15.0,21.1,3
79.0,40.0,264.0,10.0,0.001,4
3.4,89.3,27.8,124.2,0.3,2
55.4,362.4,163.4,518.9,1.9,2
345.0,112.0,28.0,52.0,59.0,3
8.0,88.0,45.0,252.0,0.0001,2
77.0,406.0,59.0,819.0,0.0,2
24.0,34.6,14.2,21.7,0.0001,5
36.0,167.0,230.0,18.0,0.001,4
7.0,125.0,6.0,36.0,13.0,2
172.9,334.0,172.0,812.5,37.7,2
103.0,74.0,80.0,9.0,0.001,4
64.0,18.0,1.0,4.0,122.0,1
3.7,153.8,98.9,195.2,0.1,5
139.0,52.2,6.8,62.8,9.6,1
92.0,27.0,67.0,7.0,0.0001,4
200.0,48.0,14.0,117.0,131.0,1
2.7,91.5,27.6,123.7,0.3,2
4.8,146.7,91.7,187.6,0.1,5
48.0,20.0,69.0,41.0,31.0,1
134.0,13.0,267.0,0.001,0.001,6
165.62,240.95,61.32,514.53,13.53,2
443.0,85.2,9.5,102.9,173.9,1
121.0,73.0,179.0,11.0,0.001,4
376.0,575.0,146.0,1092.0,0.001,2
36.0,167.0,230.0,18.0,0.001,4
181.0,262.0,210.0,528.0,0.0,4
50.0,90.0,18.0,260.0,5.9,2
44.09,13.64,2.42,20.08,20.21,1
112.0,68.0,136.0,9.0,0.0001,4
35.0,39.5,9.63,53.276,53.89,1
150.0,77.0,5.0,45.0,105.0,1
85.0,98.0,315.0,30.0,0.001,4
57.0,148.0,197.0,72.0,42.0,1
35.0,11.0,0.001,7.0,146.0,1
107.0,143.0,34.0,222.0,2.0,2
140.0,173.0,45.0,17.0,0.0,4
119.0,78.0,16.0,43.0,30.0,2
497.0,230.0,51.0,151.0,122.0,1
179.0,306.0,73.0,579.0,0.001,2
30.61,68.06,23.73,168.39,0.5,2
35.1,50.6,16.1,93.0,1.1,2
10.0,56.0,72.0,70.0,0.0001,4
27.0,51.0,0.0001,153.0,0.0001,2
3.8,119.0,62.7,149.9,0.0,5
112.0,15.4,2.8,26.3,92.0,1
505.57,475.35,242.3,524.45,3.29,4
57.0,141.0,38.0,51.0,0.001,5
66.0,201.5,220.0,99.8,0.0,4
3.2,97.9,53.4,115.2,0.1,5
8.3824,225.9101,135.3591,324.2876,0.5071,5
36.14,285.52,88.27,455.84,1.8,2
55.8,37.2,15.6,15.0,1.8,1
9.25,96.88,446.52,84.25,0.0,2
88.0,21.8,79.2,41.2,41.5,1
170.0,320.0,53.0,520.0,3.2,2
3.2,120.2,60.0,144.7,0.0,5
1.0,27.0,49.0,4.0,1.0,4
21.0,42.0,4.0,92.0,0.0001,2
11.0,13.0,2.0,127.0,0.001,2
74.8,30.1,82.3,13.6,0.001,4
60.0,40.0,6.9,110.0,70.0,1
10.0,44.0,106.0,28.0,0.0001,4
13.1,44.7,91.5,213.3,4.2,4
15.33,22.18,17.78,44.71,0.0,4
143.0,305.0,2.0,721.0,78.0,2
91.0,704.0,212.0,864.0,0.0,2
0.001,6.0,52.0,67.0,0.001,5
0.0,260.0,160.0,800.0,0.0,2
30.0,25.5,31.5,93.0,1.8,2
42.0,124.0,1.0,8.0,0.0001,4
44.11,24.55,6.66,24.14,0.54,1
15.0,7.0,92.0,5.0,0.001,4
73.0,17.0,104.0,21.0,25.0,3
30.0,51.0,12.0,54.0,0.001,2
195.0,5.3,0.001,0.001,0.001,6
101.0,8.1,0.001,3.0,0.001,6
87.0,34.0,23.0,15.0,60.0,1
120.0,31.0,0.0001,66.0,94.0,1
173.0,334.0,172.0,812.5,37.7,2
51.2,37.6,5.1,52.8,51.6,1
10.0,26.0,147.0,6.0,0.0001,4
63.78,52.35,9.68,1.75,0.0,6
221.0,440.0,94.6,610.5,3.7,2
10.5,68.4,16.5,122.8,0.9,2
29.0,71.0,158.0,20.0,0.001,4
27.0,28.0,136.0,8.0,0.001,4
3.0,5.0,90.0,185.0,3.0,5
186.0,38.3,13.0,37.0,85.9,3
120.0,25.0,1.0,8.0,40.0,3
565.0,99.0,37.0,28.0,0.0,6
19.0,12.0,2.0,8.0,63.0,1
43.0,19.0,3.0,0.0001,40.0,1
23.0,6.0,172.0,23.0,31.0,4
35.0,25.0,0.0,23.0,22.0,1
86.0,110.0,18.0,92.0,7.4,2
8.1,202.3,115.4,300.7,1.1,5
274.0,27.0,5.0,33.0,97.0,3
240.0,20.0,5.0,28.0,96.0,3
197.0,12.0,6.6,15.0,0.0001,6
240.0,28.0,6.0,26.0,85.0,2
54.9,8.8,80.0,2.5,0.0001,4
10.0,56.0,72.0,70.0,0.001,4
78.0,161.0,86.0,353.0,10.0,3
181.0,262.0,41.0,28.0,0.001,4
980.0,73.0,58.0,12.0,0.001,6
109.0,226.0,68.0,192.0,0.0001,5
46.0,20.0,14.0,10.0,42.0,1
109.0,16.0,0.001,0.001,0.001,6
2.7,83.6,26.8,121.6,0.0,2
0.001,153.0,130.0,677.0,13.0,2
60.0,5.0,2.0,21.0,32.0,1
18.34,16.26,3.38,17.95,16.42,1
64.0,22.0,20.7,51.7,95.1,1
254.0,5.2,0.001,9.3,88.0,3
5.1,129.3,60.8,147.6,0.0,5
225.0,4.7,0.001,8.7,89.0,3
5.0,206.3,101.3,288.6,3.1,5
10.0,63.0,176.0,35.0,0.001,4
151.0,13.5,50.7,5.0,9.2,3
4.099,204.407,117.493,290.0923,0.4097,5
531.0,111.9,22.7,122.5,169.0,1
172.9,334.1,172.9,812.5,37.7,2
130.0,140.0,24.0,120.0,0.0001,4
18.0,20.0,6.0,12.0,2.0,4
31.0,56.0,33.0,77.0,0.001,5
3.6,107.3,30.2,131.8,0.0,2
3.3,86.7,23.3,106.1,0.0,2
81.0,7.3,6.3,26.4,111.0,1
565.0,53.0,34.0,47.0,0.001,3
63.3,58.1,8.7,60.1,0.0,2
24.0,109.0,69.0,0.001,0.001,4
60.0,5.0,2.0,21.0,21.0,1
88.5,22.8,108.4,12.0,7.5,1
160.0,24.7,38.5,0.001,0.001,6
20.2,69.7,18.0,122.5,0.7,2
127.0,24.0,0.001,32.0,81.0,1
14.0,14.0,124.0,7.0,1.0,4
180.0,175.0,75.0,50.0,4.0,5
35.0,11.0,0.001,7.0,146.0,1
3.1,107.8,32.7,124.8,0.0,2
47.0,9.0,4.0,16.0,81.0,1
151.0,242.0,68.0,232.0,0.001,5
23.51,61.33,45.21,98.03,0.77,4
172.9,334.0,172.0,812.5,37.7,2
15.0,7.0,92.0,5.0,0.0001,4
150.0,27.0,3.6,63.0,90.0,3
62.5,355.1,164.1,510.3,1.8,2
14.3,92.6,83.9,16.7,26.8,1
17.0,42.0,192.0,12.0,20.0,1
59.0,10.4,4.0,10.0,12.7,3
30.4,117.0,44.2,138.0,0.1,5
3.6,121.6,57.1,143.2,0.0,5
170.0,320.0,53.0,520.0,3.2,2
0.0001,6.0,52.0,67.0,0.0001,5
79.8,340.5,170.5,528.2,2.3,2
320.0,131.0,187.0,127.0,0.0001,4
9.5,164.3,93.5,216.6,0.0,5
650.0,53.0,35.0,20.0,0.001,6
10.0,15.0,0.0001,0.0001,35.0,1
3.7,88.2,23.6,113.3,0.4,2
14.6,188.4,83.3,147.4,0.0,5
181.0,262.0,41.0,28.0,0.001,4
55.0,22.0,0.5,2.6,0.0001,4
200.0,700.0,250.0,740.0,1.0,5
85.0,98.0,315.0,30.0,0.0001,4
0.001,43.0,146.0,9.0,0.001,4
8.4,28.7,13.0,105.0,2.1,2
11.7,69.7,14.8,114.7,0.0,2
345.0,112.3,27.5,51.5,58.8,3
12.0,6.0,5.0,16.0,51.0,3
151.0,242.0,68.0,232.0,0.001,5
650.0,53.0,20.0,0.0,34.0,6
63.0,22.0,15.0,11.0,76.0,1
4.8,115.6,52.1,141.6,0.0,5
90.0,313.0,67.0,566.0,10.0,4
29.1,11.4,1.41,20.34,37.6,1
5.6,155.8,104.2,219.6,0.2,5
208.0,7.6,27.5,9.7,14.4,3
179.0,39.3,64.0,654.0,168.0,3
0.0001,106.0,170.0,871.0,6.0,2
16.0,98.0,35.0,64.0,0.001,5
38.0,38.0,296.0,14.0,0.0001,4
160.0,130.0,33.0,96.0,0.0,4
69.0,212.0,4.0,692.0,135.0,2
24.3,15.7,6.4,11.2,29.8,6
4.4,113.2,47.4,124.8,0.0,5
0.001,4.9,81.0,172.0,0.001,5
0.001,153.0,395.0,11.7,0.001,4
106.0,4.0,2.0,1.0,0.001,6
2.1,102.9,41.7,143.7,0.0,2
4.9824,206.3012,101.2695,288.5847,3.0757,5
59.0,20.0,120.0,5.5,8.9,1
86.0,277.0,63.0,338.0,0.001,2
743.0,74.0,39.0,6.0,0.0,6
70.7,403.3,218.9,664.5,1.7,2
42.1,28.0,10.0,51.0,5.8,1
170.0,330.0,430.0,77.0,13.0,2
124.0,14.0,4.0,0.001,13.0,3
28.0,62.0,16.0,76.0,0.001,2
100.0,18.0,0.001,0.001,0.001,6
43.0,116.0,65.0,139.0,0.001,5
12.0,32.0,1.0,8.0,81.0,2
56.0,286.0,7.0,928.0,96.0,2
19.0,47.0,27.0,62.0,0.001,5
457.0,79.0,54.0,190.0,2.4,2
110.0,7.0,0.001,0.001,0.001,6
220.0,340.0,42.0,480.0,14.0,2
0.001,4.9,81.0,172.0,0.001,5
7.0,31.0,23.0,148.0,0.001,2
7.7,80.1,22.2,114.8,0.4,2
170.0,320.0,53.0,520.0,3.2,4
413.0,6.8,40.4,4.6,8.15,1
155.0,49.0,69.3,42.0,10.7,1
43.0,28.0,72.0,9.0,0.0001,4
7.0,15.0,78.0,58.0,0.001,4
35.0,283.0,121.0,222.0,0.001,5
119.0,8.0,20.0,0.0001,21.0,3
301.0,5.78,4.7,9.7,5.0,3
68.0,8.0,3.0,8.0,11.0,3
98.0,252.0,95.0,646.0,22.0,1
37.9,7.7,2.16,18.4,33.7,1
166.0,21.0,38.0,6.0,0.001,6
5.2,195.4,121.6,296.2,1.0,5
2.0,123.0,7.0,18.0,0.001,5
40.2597,25.1082,18.6147,16.0173,0.0,4
114.0,241.0,80.0,574.0,0.0001,2
117.0,167.0,7.0,481.0,48.0,2
50.6,157.63,28.94,175.62,0.0,2
123.0,50.7,9.0,62.0,65.9,1
68.0,99.2,35.9,202.9,0.0001,2
27.0,30.0,23.0,2.4,0.1,4
69.0,212.0,135.0,692.0,3.9,2
55.0,22.0,358.0,2.6,0.001,4
6.7,10.0,11.0,71.0,3.9,2
200.83,59.45,41.0,40.48,150.84,1
2.0,123.0,7.0,18.0,0.0001,5
10.0,298.0,107.0,560.0,0.0,2
161.0,38.0,210.0,13.0,0.0001,4
5.5,9.2,7.7,2.0,0.0,4
20.0,19.0,45.0,77.0,0.001,2
62.0,112.0,36.0,148.0,0.0,2
463.0,96.0,18.0,77.0,58.0,6
45.2,3.6,2.9,8.3,18.3,3
16.0,87.0,75.0,395.0,30.0,2
120.0,31.0,0.001,66.0,94.0,1
46.0,98.0,41.3,26.3,0.0,4
274.0,27.0,5.0,33.0,97.0,1
220.0,340.0,42.0,480.0,14.0,2
0.0001,33.7,136.0,11.4,0.0001,4
34.0,0.001,0.001,0.001,44.0,1
670.0,224.0,45.0,67.0,2.0,5
68.0,78.0,103.0,136.0,0.001,2
3.9,131.4,41.9,164.3,0.0,2
7.4,89.3,23.4,124.3,0.4,2
61.0,21.0,2.0,26.0,89.0,1
57.0,141.0,38.0,51.0,0.0001,5
19.3,103.0,159.0,19.0,0.6,2
33.6,224.6,120.9,334.5,3.0,5
75.0,15.0,7.0,14.0,26.0,1
2.1,135.2,91.8,174.1,0.0,5
59.8,353.9,178.5,555.0,1.7,2
4.7,117.1,62.5,147.7,0.0,5
4.9,141.0,81.9,168.5,0.1,5
169.0,38.0,48.5,6.5,5.8,3
7.46,9.4,8.48,15.47,0.11,4
476.0,28.0,27.0,36.0,148.0,3
20.07,31.02,3.83,43.8,1.28,2
34.0,8.6,70.3,3.1,0.0001,4
106.0,4.0,2.0,1.0,0.001,6
0.001,116.0,70.0,0.001,0.001,4
47.0,120.0,90.0,198.0,3.0,5
123.0,51.3,15.6,16.0,42.0,1
29.0,26.3,1.8,27.0,82.4,3
18.0,30.0,146.0,8.0,0.001,4
23.33,199.24,102.8,271.78,0.78,5
36.7,207.0,107.7,312.4,2.9,5
7.8,152.4,90.0,194.1,0.0,5
20.0,132.0,61.0,17.0,0.001,4
5.0,14.0,234.0,5.0,0.001,4
23.0,11.8,3.0,0.6,0.0,4
32.7586,44.2529,10.9195,12.069,0.0,4
111.0,67.0,105.0,9.0,0.001,4
2.6,84.1,26.9,107.3,0.0,2
54.3,379.3,183.2,563.3,1.4,2
114.0,41.0,27.0,15.0,42.0,1
36.0,30.0,93.0,10.0,7.1,2
274.0,376.0,17.0,1002.0,55.0,2
55.0,159.0,114.0,493.0,0.0001,2
7.5,148.7,81.0,179.6,0.0,5
90.0,313.0,67.0,566.0,10.0,4
476.0,28.0,27.0,36.0,148.0,3
895.0,30.0,102.0,2.0,0.0,6
54.0,7.0,7.4,8.6,5.4,3
279.0,41.0,9.7,42.0,34.0,1
23.0,6.0,172.0,23.0,31.0,4
116.0,14.0,134.0,5.3,0.001,6
73.0,177.0,37.0,52.0,0.001,5
86.0,480.0,155.0,644.0,9.0,2
18.5,4.61,0.8,4.2,7.5,1
80.0,233.0,134.0,218.0,43.0,3
625.0,130.0,47.0,2.0,0.0001,4
407.0,28.0,15.0,21.0,0.001,6
23.51,61.33,45.21,98.03,1.01,5
6.0,3.0,0.8,0.7,0.0001,4
179.0,306.0,73.0,579.0,0.0001,2
6.9,168.0,106.3,225.4,0.0,5
32.0,40.0,32.0,40.0,32.0,2
135.0,27.0,24.0,9.0,13.0,3
320.0,131.0,187.0,127.0,0.001,4
56.0,61.0,75.0,32.0,31.0,6
95.0,110.0,160.0,50.0,0.001,4
341.0,5.0,31.0,51.0,64.0,2
797.0,5.0,4.0,6.0,5.0,6
7.8105,30.4018,17.3722,43.3893,1.0262,4
34.6084,18.2149,14.3898,17.3042,15.4827,3
218.0,195.0,35.0,217.0,33.0,1
55.0,102.0,2.0,246.0,18.0,2
37.0,123.0,67.0,52.0,0.001,4
0.0001,4.9,81.0,172.0,0.0001,5
345.0,112.25,27.5,51.5,58.75,3
59.0,119.0,36.0,70.0,0.001,5
80.0,28.0,4.0,15.0,107.0,1
247.7,148.7,78.7,192.7,0.9,4
716.0,7.1,3.3,20.0,6.8,3
137.0,279.0,66.0,505.0,0.001,2
18.0,30.0,146.0,8.0,0.0001,4
2.1,121.4,40.7,143.8,0.0,2
123.0,50.7,9.0,62.0,65.9,1
3.7,94.9,22.3,107.4,0.2,2
60.0,144.0,9.0,449.0,67.0,2
62.0,425.0,276.0,651.0,26.0,5
96.0,13.7,3.8,35.6,5.4,3
54.9,8.8,80.0,2.5,0.001,4
41.0,65.0,22.0,58.0,0.001,5
46.7,8.2,1.8,5.1,4.1,3
1.0,27.0,49.0,4.0,1.0,4
2.0,41.0,133.0,9.0,21.0,1
0.001,33.7,136.0,11.4,0.001,4
151.0,51.0,16.0,12.0,19.0,1
2.5,113.3,33.1,115.1,0.0,2
11.0,22.0,2.0,53.0,11.0,2
39.0,7.0,12.0,65.0,0.001,2
43.0,116.0,65.0,139.0,0.001,5
18.0,35.0,2.0,110.0,0.001,2
12.4,207.0,118.6,312.3,1.1,5
19.0,48.0,76.0,18.0,0.0001,4
137.0,279.0,66.0,505.0,0.001,2
54.9,8.8,80.0,2.5,0.001,4
44.63,35.36,7.59,1.68,0.0,6
109.0,226.0,68.0,192.0,0.001,5
0.001,153.0,130.0,677.0,13.0,2
512.0,87.0,11.5,163.9,185.21,1
23.0,592.0,0.0,275.0,75.0,2
16.0,98.0,35.0,64.0,0.001,5
6.3,119.1,37.9,148.6,0.0,2
19.8,92.0,16.6,132.7,0.3,2
24.0,20.0,4.0,87.0,0.001,2
26.5,298.0,0.0,69.3,8.6,2
9.2,151.1,94.1,202.6,0.0,5
10.0,56.0,72.0,70.0,0.001,4
8.1,153.0,87.6,194.3,0.0,5
179.0,306.0,73.0,579.0,0.001,2
31.8,25.0,8.2,12.9,5.7,1
360.0,610.0,259.0,260.0,9.0,5
88.7,460.8,94.9,184.6,18.3,5
407.0,28.0,15.0,21.0,0.001,6
225.0,4.7,0.0001,8.7,89.0,3
27.0,90.0,42.0,63.0,0.2,5
2.5,136.7,87.1,173.2,0.0,5
154.6,50.9,3.8,46.8,152.8,1
240.0,17.0,0.0,5.0,40.0,6
0.001,10.0,17.0,68.0,5.0,2
160.0,10.0,3.0,1.0,1.0,3
16.4,45.5,68.7,3.8,0.0001,4
14.9,11.8,4.2,1.4,1.6,3
39.3,37.1,11.6,77.4,9.3,3
6.0,197.0,476.9,16.9,0.001,4
38.21,142.0,44.51,211.11,0.0,2
118.0,3.0,1.0,3.4,4.3,3
187.0,5.0,1.0,0.001,0.001,6
105.0,23.0,13.0,4.0,3.0,6
0.0001,43.0,146.0,9.0,0.0001,4
50.0,90.0,260.0,18.0,5.9,2
174.0,27.0,6.0,12.0,29.0,3
110.0,7.0,0.001,0.001,0.001,6
173.0,334.0,172.0,812.5,37.7,2
134.0,13.0,156.0,0.0001,0.0001,6
26.7,90.6,49.2,95.0,0.5,4
667.0,204.0,140.0,164.0,93.0,1
44.2,101.0,13.0,11.8,0.45,4
152.0,32.0,28.0,55.0,0.0001,5
5.5,9.6,3.9,50.0,1.5,4
21.0,7.6,4.7,96.3,26.73,1
119.0,8.0,23.3,7.9,12.3,3
15.0,159.0,29.0,87.0,0.001,5
153.0,18.0,9.0,0.0001,11.0,3
29.6,281.1,71.9,400.1,2.2,2
10.0,115.0,5.0,31.0,10.0,2
160.0,10.0,3.0,1.0,1.0,3
4.6,210.1,104.6,259.0,0.4,5
187.0,86.0,155.0,21.0,6.0,4
139.0,714.0,351.0,634.0,0.0,4
156.0,55.0,103.0,13.0,16.0,1
86.0,480.0,155.0,644.0,9.0,2
17.5,195.9,109.9,296.0,1.3,5
181.0,262.0,41.0,28.0,0.0001,4
157.0,46.0,76.0,12.0,0.0001,4
127.0,24.0,0.001,32.0,81.0,1
138.5,68.4,0.0,193.6,137.0,1
64.4,371.6,176.0,518.9,1.7,5
53.0,189.0,25.0,295.0,5.0,2
37.07,203.9,73.77,288.86,0.0,2
26.0,68.0,93.0,31.0,59.0,1
181.0,262.0,41.0,28.0,0.001,4
35.0,29.0,7.0,78.0,0.001,2
300.0,490.0,180.0,360.0,95.0,5
51.7,308.2,168.3,491.6,2.3,5
10.0,63.0,176.0,35.0,0.0001,4
220.0,340.0,42.0,480.0,14.0,2
117.0,325.0,105.0,372.0,0.0,2
43.0,19.0,3.0,0.001,40.0,1
20.0,26.0,6.0,55.0,0.0001,2
44.3,17.3,3.6,23.3,10.4,1
92.8,6.75,0.44,0.0001,0.0001,6
290.0,110.0,6.8,47.0,90.0,3
21.0,34.0,5.0,47.0,62.0,1
48.0,20.0,69.0,41.0,31.0,1
159.8,438.7,312.4,644.6,0.38,4
230.0,572.4,343.0,768.9,0.51,4
524.0,17.0,33.0,22.0,3.0,6
197.0,12.0,6.6,15.0,0.001,6
163.0,326.0,107.0,414.0,0.0,2
2.0,123.0,7.0,18.0,0.001,5
16.0,5.0,4.0,17.0,56.0,3
33.0,79.0,30.0,215.0,5.0,2
17.0,40.0,11.0,86.0,0.0001,2
15.3,344.97,128.91,564.08,0.0,2
615.0,200.0,42.0,102.0,68.0,1
12.0,14.6,7.2,14.4,0.98,3
260.0,130.0,26.0,84.0,92.0,1
19.0,62.0,95.0,5.0,0.001,4
124.0,166.0,87.0,59.0,0.0001,4
78.0,161.0,86.0,353.0,10.0,2
19.9,61.5,27.1,114.7,0.0,2
40.66,224.65,118.9,340.11,3.14,5
34.48,269.3,74.96,387.32,1.44,2
74.0,100.0,85.0,17.0,0.001,4
5.7,125.8,64.5,155.4,0.0,5
174.0,27.0,6.0,12.0,29.0,3
65.0,34.0,16.0,112.0,0.0001,2
100.0,18.0,0.001,0.001,0.001,6
37.0,123.0,67.0,52.0,0.0001,4
53.0,150.0,64.0,379.0,0.0001,2
84.0,6.0,1.0,14.0,86.0,1
14.0,15.0,42.0,73.0,0.001,5
16.0,80.0,134.0,10.0,0.001,4
8.0,0.0001,0.0001,43.0,101.0,3
106.0,24.0,4.0,28.0,37.0,3
62.0,3.0,1.0,4.0,26.0,3
15.0,159.0,29.0,87.0,0.001,5
75.0,5.0,31.0,69.0,36.0,1
17.0,42.0,192.0,12.0,20.0,1
34.0,83.0,100.0,136.0,0.001,2
5.4,140.7,79.1,176.4,0.0,5
18.0,63.0,20.0,51.0,0.0001,5
25.0,49.0,42.0,58.0,0.001,5
8.0,110.2,32.9,132.4,0.0,2
870.0,77.0,73.0,54.0,14.0,6
4.3,134.2,75.1,158.9,0.1,5
18.0,63.0,20.0,51.0,0.001,5
36.0,94.0,78.0,13.0,2.0,4
89.9942,5.3479,1.9551,2.7027,0.0,3
2.9,109.5,32.9,123.0,0.0,2
28.0,145.7,113.1,436.2,0.0,2
15.0,365.0,97.0,585.0,0.0,2
21.0,34.0,5.0,47.0,62.0,1
7.0,15.0,78.0,58.0,0.001,4
8.0,16.0,88.0,7.0,0.001,4
41.09,257.29,68.75,318.59,4.17,2
0.001,6.0,52.0,67.0,0.001,5
35.1,148.1,32.69,210.96,0.72,2
23.0233,12.0046,10.0593,12.0,61.8213,1
88.0,21.8,79.2,41.2,41.5,1
187.0,5.0,1.0,0.001,0.001,6
77.0,36.0,27.0,18.0,76.0,1
3.5,117.1,60.1,141.0,0.0,5
43.0,116.0,65.0,139.0,0.001,5
20.6,19.89,7.4,61.27,1.51,2
34.4,21.9,3.2,45.0,19.6,3
16.4,45.5,68.7,3.8,0.001,4
5.2,126.8,66.4,162.6,0.0,5
92.0,27.0,67.0,7.0,0.001,4
4.0,137.4,68.3,149.1,0.0,5
46.0,147.0,27.0,150.0,0.001,2
35.0,29.0,7.0,78.0,0.0001,2
45.0,125.0,111.0,25.0,0.0001,4
181.0,316.0,2.0,593.0,115.0,2
44.964,8.0935,1.0941,18.8849,26.9784,1
56.0,144.0,36.0,164.0,1.8,2
20.0,48.0,36.0,186.0,0.001,2
7.8,87.3,20.2,110.7,0.5,2
212.0,38.0,15.0,47.0,78.0,1
12.0,28.0,102.0,3.0,0.0001,4
54.0,143.0,23.0,101.0,0.0001,5
206.0,51.0,23.0,48.0,45.0,2
109.0,102.0,28.0,91.0,0.001,5
99.0,288.0,73.0,386.0,0.001,2
95.0,10.0,0.001,11.0,39.0,3
32.4,5.5,1.4,12.6,13.2,1
345.0,112.3,27.5,51.5,58.8,3
4.0,2.0,1.0,63.0,0.001,2
137.0,33.0,8.0,29.0,111.0,3
313.9,30.6,7.59,5.89,0.3,6
157.0,46.0,76.0,12.0,0.001,4
13.2,18.7,97.4,79.5,4.7,4
870.0,77.0,73.0,54.0,14.0,6
14.0,14.0,124.0,7.0,1.0,4
200.83,59.45,0.0,40.48,150.84,1
8.3,168.7,103.5,228.5,0.0,5
109.0,4.0,11.0,9.0,0.001,6
66.0,60.0,2.0,7.0,0.0001,4
18.0,35.0,2.0,110.0,0.001,2
8.0,16.0,88.0,7.0,0.001,4
119.0,670.0,286.0,934.0,19.0,5
176.0,205.9,47.7,75.7,68.7,1
170.0,320.0,53.0,520.0,3.2,2
27.0,51.0,0.001,153.0,0.001,2
654.0,55.0,34.0,20.0,0.0,6
41.0,16.0,19.0,58.0,106.0,1
17.0,21.0,118.0,0.001,4.0,4
437.0,27.2,22.5,34.9,30.2,1
121.0,21.0,11.0,32.0,45.0,3
78.0,66.0,283.0,2.6,0.001,4
109.0,16.0,0.001,0.001,0.001,6
57.0,15.0,3.1,23.0,25.3,1
150.0,130.0,9.0,55.0,30.0,1
2.4,92.1,26.6,109.1,0.0,2
200.0,48.0,14.0,117.0,131.0,1
37.0,71.0,2.0,166.0,12.0,2
53.0,150.0,64.0,379.0,0.001,2
150.0,11.6,50.6,29.0,1.1,6
150.0,130.0,9.0,55.0,30.0,1
189.0,157.0,17.0,62.0,7.4,1
110.6,458.8,242.6,406.4,0.0001,5
35.0,283.0,121.0,222.0,0.001,5
19.2,211.5,114.3,308.5,1.3,5
5.5,70.6,18.4,99.0,0.5,2
173.0,334.0,38.0,812.0,173.0,2
115.0,129.0,316.0,36.0,0.001,4
4.32,193.0,118.0,125.0,0.0,4
95.0,10.0,0.001,11.0,39.0,3
13.0,59.0,117.0,44.0,0.0001,4
54.0,143.0,23.0,101.0,0.001,5
274.0,23.0,34.0,36.0,66.0,3
22.0,443.0,110.0,745.0,0.0,2
35.0,29.0,7.0,78.0,0.001,2
20.0,19.0,45.0,77.0,0.001,2
27.0,49.0,192.0,9.0,0.001,4
980.0,570.0,37.0,480.0,54.0,1
7.0,32.0,11.0,5.0,141.0,2
126.0,5.0,1.0,6.0,24.0,3
31.0,56.0,33.0,77.0,0.001,5
18.0,63.0,20.0,51.0,0.001,5
90.0,149.0,19.0,486.0,32.0,2
59.0,119.0,36.0,70.0,0.0001,5
37.71,332.68,122.73,538.75,1.45,2
36.0,30.0,10.0,93.0,7.1,2
235.0,16.0,0.001,35.0,0.001,6
88.0,6.0,5.0,21.0,21.0,1
2.5,73.8,24.0,85.2,0.0,2
9.0,166.3,92.0,209.1,0.0,5
179.0,306.0,73.0,579.0,0.001,2
30.0,62.0,60.0,460.0,3.4,3
86.0,170.7,67.6,326.6,0.93,2
3.0,5.0,90.0,185.0,3.0,5
19.0,321.0,85.0,520.0,0.0,2
449.0,89.0,15.0,78.0,60.0,6
153.0,18.0,9.0,0.001,11.0,3
101.72,27.65,7.13,16.92,53.87,3
26.0,68.0,93.0,31.0,59.0,1
87.2,73.18,27.14,56.88,0.0001,4
4.1,115.3,51.0,128.6,0.0,5
150.0,22.0,11.0,60.0,9.0,2
27.0,49.0,192.0,9.0,0.001,4
10.0,4.0,1.0,87.0,0.001,2
31.7,40.3,8.7,107.0,4.5,2
21.0,34.0,5.0,47.0,62.0,1
164.0,244.0,103.0,497.0,8.3,2
67.0,8.96,6.27,5.49,6.87,1
143.0,5.8,16.0,10.6,26.3,3
2.8,103.6,35.1,130.3,0.0,2
124.0,166.0,87.0,59.0,0.001,4
5.3,86.4,21.3,108.6,0.0,2
13.0,138.0,83.0,16.0,0.001,4
37.0,96.0,19.0,57.0,0.001,5
626.0,46.0,54.0,31.0,4.0,6
38.0,872.0,340.0,1004.0,0.0,2
245.0,120.0,18.0,131.0,167.0,1
120.0,120.0,33.0,84.0,0.55,4
45.0,63.0,1.0,129.0,20.0,2
132.92,32.82,7.64,19.4,40.36,3
71.6,20.2,2.7,34.6,44.2,1
13.0,3.0,1.0,3.0,6.0,1
14.2,4.0,1.4,1.5,9.51,3
31.0,56.0,33.0,77.0,0.001,5
6.2,135.4,72.1,165.0,0.2,5
75.0,15.0,7.0,14.0,26.0,1
111.0,67.0,105.0,9.0,0.001,4
234.5,30.28,6.11,47.69,175.88,3
46.0,147.0,27.0,150.0,0.001,2
116.0,14.0,134.0,5.3,0.0001,6
77.0,36.0,27.0,18.0,76.0,1
34.0,21.0,4.0,49.0,56.0,1
142.0,17.0,4.0,7.0,38.0,3
220.0,340.0,42.0,480.0,14.0,2
46.0,21.0,1.0,11.0,93.0,1
19.3,103.0,159.0,19.0,0.6,2
18.0,250.4,172.8,707.9,0.0,2
24.32,16.36,1.67,30.18,27.47,3
6.14,51.78,21.14,6.82,0.12,4
12.0,270.0,0.001,275.0,0.001,2
38.0,38.0,296.0,14.0,0.001,4
46.9,161.6,94.1,193.6,0.56,5
240.0,20.0,5.0,28.0,96.0,3
51.1,7.1,1.7,5.9,9.2,3
93.5,131.9,39.0,11.7,0.001,4
