k_neighbors: 6, Depth: 11, Accuracy: 86.56%
k_neighbors: 6, Depth: 12, Accuracy: 85.31%
k_neighbors: 6, Depth: 13, Accuracy: 84.69%
k_neighbors: 6, Depth: 14, Accuracy: 84.38%
k_neighbors: 6, Depth: 15, Accuracy: 84.38%
k_neighbors: 6, Depth: 16, Accuracy: 84.38%
k_neighbors: 6, Depth: 17, Accuracy: 85.00%
k_neighbors: 6, Depth: 18, Accuracy: 85.62%
k_neighbors: 6, Depth: 19, Accuracy: 85.00%
k_neighbors: 6, Depth: 20, Accuracy: 85.31%
k_neighbors: 7, Depth: 1, Accuracy: 54.06%
k_neighbors: 7, Depth: 2, Accuracy: 74.69%
k_neighbors: 7, Depth: 3, Accuracy: 75.94%
k_neighbors: 7, Depth: 4, Accuracy: 77.50%
k_neighbors: 7, Depth: 5, Accuracy: 79.38%
k_neighbors: 7, Depth: 6, Accuracy: 81.56%
k_neighbors: 7, Depth: 7, Accuracy: 84.06%
k_neighbors: 7, Depth: 8, Accuracy: 85.31%
k_neighbors: 7, Depth: 9, Accuracy: 85.62%
k_neighbors: 7, Depth: 10, Accuracy: 86.56%
k_neighbors: 7, Depth: 11, Accuracy: 86.25%
k_neighbors: 7, Depth: 12, Accuracy: 85.62%
k_neighbors: 7, Depth: 13, Accuracy: 85.00%
k_neighbors: 7, Depth: 14, Accuracy: 85.31%
k_neighbors: 7, Depth: 15, Accuracy: 85.94%
k_neighbors: 7, Depth: 16, Accuracy: 85.62%
k_neighbors: 7, Depth: 17, Accuracy: 85.00%
k_neighbors: 7, Depth: 18, Accuracy: 84.69%
k_neighbors: 7, Depth: 19, Accuracy: 85.62%
k_neighbors: 7, Depth: 20, Accuracy: 85.31%
k_neighbors: 8, Depth: 1, Accuracy: 61.25%
k_neighbors: 8, Depth: 2, Accuracy: 75.31%
k_neighbors: 8, Depth: 3, Accuracy: 76.56%
k_neighbors: 8, Depth: 4, Accuracy: 76.88%
k_neighbors: 8, Depth: 5, Accuracy: 80.31%
k_neighbors: 8, Depth: 6, Accuracy: 82.19%
k_neighbors: 8, Depth: 7, Accuracy: 83.75%
k_neighbors: 8, Depth: 8, Accuracy: 84.38%
k_neighbors: 8, Depth: 9, Accuracy: 85.94%
k_neighbors: 8, Depth: 10, Accuracy: 85.62%
k_neighbors: 8, Depth: 11, Accuracy: 84.38%
k_neighbors: 8, Depth: 12, Accuracy: 85.94%
k_neighbors: 8, Depth: 13, Accuracy: 85.62%
k_neighbors: 8, Depth: 14, Accuracy: 85.62%
k_neighbors: 8, Depth: 15, Accuracy: 85.94%
k_neighbors: 8, Depth: 16, Accuracy: 85.31%
k_neighbors: 8, Depth: 17, Accuracy: 85.00%
k_neighbors: 8, Depth: 18, Accuracy: 85.00%
k_neighbors: 8, Depth: 19, Accuracy: 85.00%
k_neighbors: 8, Depth: 20, Accuracy: 85.31%
k_neighbors: 9, Depth: 1, Accuracy: 55.31%
k_neighbors: 9, Depth: 2, Accuracy: 75.94%
k_neighbors: 9, Depth: 3, Accuracy: 77.19%
k_neighbors: 9, Depth: 4, Accuracy: 79.06%
k_neighbors: 9, Depth: 5, Accuracy: 80.31%
k_neighbors: 9, Depth: 6, Accuracy: 82.50%
k_neighbors: 9, Depth: 7, Accuracy: 84.38%
k_neighbors: 9, Depth: 8, Accuracy: 84.38%
k_neighbors: 9, Depth: 9, Accuracy: 85.31%
k_neighbors: 9, Depth: 10, Accuracy: 85.00%
k_neighbors: 9, Depth: 11, Accuracy: 85.62%
k_neighbors: 9, Depth: 12, Accuracy: 85.00%
k_neighbors: 9, Depth: 13, Accuracy: 84.69%
k_neighbors: 9, Depth: 14, Accuracy: 85.00%
k_neighbors: 9, Depth: 15, Accuracy: 85.62%
k_neighbors: 9, Depth: 16, Accuracy: 85.31%
k_neighbors: 9, Depth: 17, Accuracy: 85.31%
k_neighbors: 9, Depth: 18, Accuracy: 84.69%
k_neighbors: 9, Depth: 19, Accuracy: 84.69%
k_neighbors: 9, Depth: 20, Accuracy: 85.00%
k_neighbors: 10, Depth: 1, Accuracy: 53.75%
k_neighbors: 10, Depth: 2, Accuracy: 74.38%
k_neighbors: 10, Depth: 3, Accuracy: 75.62%
k_neighbors: 10, Depth: 4, Accuracy: 78.12%
k_neighbors: 10, Depth: 5, Accuracy: 80.94%
k_neighbors: 10, Depth: 6, Accuracy: 81.56%
k_neighbors: 10, Depth: 7, Accuracy: 85.00%
k_neighbors: 10, Depth: 8, Accuracy: 84.69%
k_neighbors: 10, Depth: 9, Accuracy: 85.00%
k_neighbors: 10, Depth: 10, Accuracy: 85.62%
k_neighbors: 10, Depth: 11, Accuracy: 85.31%
k_neighbors: 10, Depth: 12, Accuracy: 84.69%
k_neighbors: 10, Depth: 13, Accuracy: 84.69%
k_neighbors: 10, Depth: 14, Accuracy: 84.06%
k_neighbors: 10, Depth: 15, Accuracy: 85.00%
k_neighbors: 10, Depth: 16, Accuracy: 84.69%
k_neighbors: 10, Depth: 17, Accuracy: 84.69%
k_neighbors: 10, Depth: 18, Accuracy: 85.00%
k_neighbors: 10, Depth: 19, Accuracy: 85.00%
k_neighbors: 10, Depth: 20, Accuracy: 85.00%
