k_neighbors: 6, Depth: 11, Accuracy: 86.50%
k_neighbors: 6, Depth: 12, Accuracy: 86.50%
k_neighbors: 6, Depth: 13, Accuracy: 86.50%
k_neighbors: 6, Depth: 14, Accuracy: 87.50%
k_neighbors: 6, Depth: 15, Accuracy: 87.75%
k_neighbors: 6, Depth: 16, Accuracy: 87.75%
k_neighbors: 6, Depth: 17, Accuracy: 88.00%
k_neighbors: 6, Depth: 18, Accuracy: 87.50%
k_neighbors: 6, Depth: 19, Accuracy: 87.50%
k_neighbors: 6, Depth: 20, Accuracy: 87.50%
k_neighbors: 7, Depth: 1, Accuracy: 56.50%
k_neighbors: 7, Depth: 2, Accuracy: 74.75%
k_neighbors: 7, Depth: 3, Accuracy: 76.25%
k_neighbors: 7, Depth: 4, Accuracy: 77.25%
k_neighbors: 7, Depth: 5, Accuracy: 80.75%
k_neighbors: 7, Depth: 6, Accuracy: 83.50%
k_neighbors: 7, Depth: 7, Accuracy: 84.00%
k_neighbors: 7, Depth: 8, Accuracy: 86.00%
k_neighbors: 7, Depth: 9, Accuracy: 86.25%
k_neighbors: 7, Depth: 10, Accuracy: 86.50%
k_neighbors: 7, Depth: 11, Accuracy: 86.25%
k_neighbors: 7, Depth: 12, Accuracy: 87.25%
k_neighbors: 7, Depth: 13, Accuracy: 88.00%
k_neighbors: 7, Depth: 14, Accuracy: 86.25%
k_neighbors: 7, Depth: 15, Accuracy: 86.25%
k_neighbors: 7, Depth: 16, Accuracy: 86.50%
k_neighbors: 7, Depth: 17, Accuracy: 86.75%
k_neighbors: 7, Depth: 18, Accuracy: 87.00%
k_neighbors: 7, Depth: 19, Accuracy: 86.75%
k_neighbors: 7, Depth: 20, Accuracy: 86.50%
k_neighbors: 8, Depth: 1, Accuracy: 54.25%
k_neighbors: 8, Depth: 2, Accuracy: 76.00%
k_neighbors: 8, Depth: 3, Accuracy: 77.00%
k_neighbors: 8, Depth: 4, Accuracy: 76.50%
k_neighbors: 8, Depth: 5, Accuracy: 81.50%
k_neighbors: 8, Depth: 6, Accuracy: 83.50%
k_neighbors: 8, Depth: 7, Accuracy: 84.75%
k_neighbors: 8, Depth: 8, Accuracy: 86.00%
k_neighbors: 8, Depth: 9, Accuracy: 86.25%
k_neighbors: 8, Depth: 10, Accuracy: 86.75%
k_neighbors: 8, Depth: 11, Accuracy: 86.75%
k_neighbors: 8, Depth: 12, Accuracy: 86.50%
k_neighbors: 8, Depth: 13, Accuracy: 87.00%
k_neighbors: 8, Depth: 14, Accuracy: 87.25%
k_neighbors: 8, Depth: 15, Accuracy: 87.50%
k_neighbors: 8, Depth: 16, Accuracy: 87.25%
k_neighbors: 8, Depth: 17, Accuracy: 86.75%
k_neighbors: 8, Depth: 18, Accuracy: 87.25%
k_neighbors: 8, Depth: 19, Accuracy: 87.00%
k_neighbors: 8, Depth: 20, Accuracy: 87.00%
k_neighbors: 9, Depth: 1, Accuracy: 54.25%
k_neighbors: 9, Depth: 2, Accuracy: 76.50%
k_neighbors: 9, Depth: 3, Accuracy: 77.50%
k_neighbors: 9, Depth: 4, Accuracy: 77.75%
k_neighbors: 9, Depth: 5, Accuracy: 81.25%
k_neighbors: 9, Depth: 6, Accuracy: 82.25%
k_neighbors: 9, Depth: 7, Accuracy: 83.00%
k_neighbors: 9, Depth: 8, Accuracy: 85.25%
k_neighbors: 9, Depth: 9, Accuracy: 86.00%
k_neighbors: 9, Depth: 10, Accuracy: 86.75%
k_neighbors: 9, Depth: 11, Accuracy: 86.75%
k_neighbors: 9, Depth: 12, Accuracy: 87.25%
k_neighbors: 9, Depth: 13, Accuracy: 87.50%
k_neighbors: 9, Depth: 14, Accuracy: 87.25%
k_neighbors: 9, Depth: 15, Accuracy: 87.50%
k_neighbors: 9, Depth: 16, Accuracy: 88.00%
k_neighbors: 9, Depth: 17, Accuracy: 88.75%
k_neighbors: 9, Depth: 18, Accuracy: 87.75%
k_neighbors: 9, Depth: 19, Accuracy: 87.50%
k_neighbors: 9, Depth: 20, Accuracy: 87.75%
k_neighbors: 10, Depth: 1, Accuracy: 54.00%
k_neighbors: 10, Depth: 2, Accuracy: 74.25%
k_neighbors: 10, Depth: 3, Accuracy: 77.00%
k_neighbors: 10, Depth: 4, Accuracy: 77.75%
k_neighbors: 10, Depth: 5, Accuracy: 81.00%
k_neighbors: 10, Depth: 6, Accuracy: 83.00%
k_neighbors: 10, Depth: 7, Accuracy: 84.25%
k_neighbors: 10, Depth: 8, Accuracy: 85.75%
k_neighbors: 10, Depth: 9, Accuracy: 85.75%
k_neighbors: 10, Depth: 10, Accuracy: 86.50%
k_neighbors: 10, Depth: 11, Accuracy: 86.50%
k_neighbors: 10, Depth: 12, Accuracy: 85.75%
k_neighbors: 10, Depth: 13, Accuracy: 86.00%
k_neighbors: 10, Depth: 14, Accuracy: 86.00%
k_neighbors: 10, Depth: 15, Accuracy: 86.25%
k_neighbors: 10, Depth: 16, Accuracy: 87.00%
k_neighbors: 10, Depth: 17, Accuracy: 86.25%
k_neighbors: 10, Depth: 18, Accuracy: 86.75%
k_neighbors: 10, Depth: 19, Accuracy: 86.75%
k_neighbors: 10, Depth: 20, Accuracy: 86.75%
