k_neighbors: 5, Depth: 17, Accuracy: 85.37%
k_neighbors: 5, Depth: 18, Accuracy: 84.32%
k_neighbors: 5, Depth: 19, Accuracy: 84.67%
k_neighbors: 5, Depth: 20, Accuracy: 84.67%
k_neighbors: 6, Depth: 1, Accuracy: 66.55%
k_neighbors: 6, Depth: 2, Accuracy: 74.91%
k_neighbors: 6, Depth: 3, Accuracy: 79.09%
k_neighbors: 6, Depth: 4, Accuracy: 81.53%
k_neighbors: 6, Depth: 5, Accuracy: 81.88%
k_neighbors: 6, Depth: 6, Accuracy: 81.88%
k_neighbors: 6, Depth: 7, Accuracy: 83.28%
k_neighbors: 6, Depth: 8, Accuracy: 84.67%
k_neighbors: 6, Depth: 9, Accuracy: 83.28%
k_neighbors: 6, Depth: 10, Accuracy: 83.28%
k_neighbors: 6, Depth: 11, Accuracy: 82.23%
k_neighbors: 6, Depth: 12, Accuracy: 82.93%
k_neighbors: 6, Depth: 13, Accuracy: 82.58%
k_neighbors: 6, Depth: 14, Accuracy: 83.28%
k_neighbors: 6, Depth: 15, Accuracy: 82.58%
k_neighbors: 6, Depth: 16, Accuracy: 82.93%
k_neighbors: 6, Depth: 17, Accuracy: 82.93%
k_neighbors: 6, Depth: 18, Accuracy: 82.93%
k_neighbors: 6, Depth: 19, Accuracy: 82.23%
k_neighbors: 6, Depth: 20, Accuracy: 83.28%
k_neighbors: 7, Depth: 1, Accuracy: 66.90%
k_neighbors: 7, Depth: 2, Accuracy: 76.66%
k_neighbors: 7, Depth: 3, Accuracy: 79.09%
k_neighbors: 7, Depth: 4, Accuracy: 81.18%
k_neighbors: 7, Depth: 5, Accuracy: 81.53%
k_neighbors: 7, Depth: 6, Accuracy: 82.58%
k_neighbors: 7, Depth: 7, Accuracy: 83.97%
k_neighbors: 7, Depth: 8, Accuracy: 85.37%
k_neighbors: 7, Depth: 9, Accuracy: 84.67%
k_neighbors: 7, Depth: 10, Accuracy: 84.32%
k_neighbors: 7, Depth: 11, Accuracy: 83.62%
k_neighbors: 7, Depth: 12, Accuracy: 84.32%
k_neighbors: 7, Depth: 13, Accuracy: 83.97%
k_neighbors: 7, Depth: 14, Accuracy: 83.62%
k_neighbors: 7, Depth: 15, Accuracy: 83.28%
k_neighbors: 7, Depth: 16, Accuracy: 83.28%
k_neighbors: 7, Depth: 17, Accuracy: 83.62%
k_neighbors: 7, Depth: 18, Accuracy: 83.97%
k_neighbors: 7, Depth: 19, Accuracy: 83.62%
k_neighbors: 7, Depth: 20, Accuracy: 83.97%
k_neighbors: 8, Depth: 1, Accuracy: 56.79%
k_neighbors: 8, Depth: 2, Accuracy: 75.96%
k_neighbors: 8, Depth: 3, Accuracy: 79.79%
k_neighbors: 8, Depth: 4, Accuracy: 79.44%
k_neighbors: 8, Depth: 5, Accuracy: 81.88%
k_neighbors: 8, Depth: 6, Accuracy: 82.58%
k_neighbors: 8, Depth: 7, Accuracy: 83.62%
k_neighbors: 8, Depth: 8, Accuracy: 85.02%
k_neighbors: 8, Depth: 9, Accuracy: 83.62%
k_neighbors: 8, Depth: 10, Accuracy: 83.62%
k_neighbors: 8, Depth: 11, Accuracy: 85.02%
